"","x"
"1","안녕하세요."
"2",""
"3","요즘 말하다 보면 제 스스로도 지금 뭔소릴 하고 있는거야? 라고 생각할때가 줄곧 생기네요."
"4",""
"5","단어 선택도 이상하고, 아니면 생각이나질 않고,;"
"6",""
"7","""밥먹었어.김치찌개를 누구와 어디서.."" 하.. 잘 설명이 안되는데요.. 그냥 어색하게 말하는 외국인 같달까요."
"8",""
"9","지금은 30 후반인데요. 20대 때만해도 주변에서 말잘하네.. 라는 소릴 듣고 살 정도였는데. 요즘 이러니까 걱정이 됩니다."
"10",""
"11","한.....6년? 7년 전부터 맥주를 달고 살게 되었습니다. 처음에는 500ml 두캔.. 그러다 3개 4개.. 1주일에 하루 이틀 빼곤 매일 먹고 있는 듯"
"12","합니다. 주말에는 맘놓고 드라마, 영화 보면서 먹다 보면 6캔 7캔은 그냥 먹네요; 배가 불러도 먹습니다."
"13",""
"14","안주는 잘 안먹는 편입니다. 그냥 과자하나 까 놓고. 다 먹지도 않고요. 60초반이던 몸무게도 어제 보니 75키로 되었네요;"
"15",""
"16","이정도면 중독인가요?;"
"17","안먹게 되면 금단 중상은 별로 없는 것 같습니다. 그냥 좀 아쉽다? 버릇 처럼 먹는 것 같아요. 무언가 마시는 것으로 스트레스를 풀고"
"18","있나 싶어 탄산수를 엄청 사 놓고 먹어 봤는데 ;별 도움이 안되네요.ㅜㅜ"
"19",""
"20","지금도 보면 글 쓰면서도 이말했다 저말했다 ....;"
"21",""
"22","1. 말을 조리있게 못하겠다."
"23","2. 단어선택이 어렵다. 또는 생각나지 않는다."
"24","3. 이거슨 알콜 중독인가.."
"25","4. 나이 먹어 그런가?"
"26",""
